occurrence_no,collection_no,identified_name,identified_rank,accepted_name,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,class,order,family,genus,abund_value,abund_unit,taxon_environment,diet,composition,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
117266,9070,Cynodictis lacustris,species,Cynodictis lacustris,Late Eocene,,37.2,33.9,11154,Chordata,Mammalia,Carnivora,Canidae,Cynodictis,,,terrestrial,"carnivore, omnivore",phosphatic,-1.0856,50.6772,UK,England,,stated in text,4,outcrop,"Howgate Bay, southern end (National Grid Reference SZ 647868)"
137493,11601,n. gen. Enaliarctos n. sp. mealsi,species,Enaliarctos mealsi,Chattian,,28.1,23.03,4383,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Enaliarctos,14,specimens,coastal,carnivore,hydroxyapatite,-118.848335,35.492779,US,California,Kern,based on nearby landmark,seconds,local area,"low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
137495,11601,Pinnarctidion bishopi,species,Pinnarctidion bishopi,Chattian,,28.1,23.03,4175,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Pinnarctidion,2,specimens,coastal,carnivore,hydroxyapatite,-118.848335,35.492779,US,California,Kern,based on nearby landmark,seconds,local area,"low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)"
138737,11798,Indarctos sinensis,species,Indarctos atticus,Turolian,,8.7,5.333,11437,Chordata,Mammalia,Carnivora,Ursidae,Indarctos,,,terrestrial,"herbivore, carnivore",phosphatic,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D."
138738,11798,Protursus sp.,genus,Protursus,Turolian,,8.7,5.333,11437,Chordata,Mammalia,Carnivora,Ailuridae,Protursus,,,terrestrial,"carnivore, omnivore",phosphatic,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D."
138739,11798,Ursinae indet.,subfamily,Ursinae,Turolian,,8.7,5.333,10885,Chordata,Mammalia,Carnivora,Ursidae,,,,terrestrial,"herbivore, carnivore",phosphatic,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D."
138740,11798,Proputorius lufengensis,species,Proputorius,Turolian,,8.7,5.333,11437,Chordata,Mammalia,Carnivora,Mustelidae,Proputorius,,,terrestrial,"carnivore, omnivore",phosphatic,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D."
138741,11798,Sivaonyx bathygnathus,species,Sivaonyx,Turolian,,8.7,5.333,11437,Chordata,Mammalia,Carnivora,Mustelidae,Sivaonyx,,,terrestrial,"carnivore, omnivore",phosphatic,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D."
138742,11798,Lutra sp.,genus,Lutra,Turolian,,8.7,5.333,11437,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,,,terrestrial,"carnivore, omnivore",phosphatic,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D."
138743,11798,Ictitherium gaudryi,species,Ictitherium,Turolian,,8.7,5.333,11437,Chordata,Mammalia,Carnivora,Hyaenidae,Ictitherium,,,terrestrial,carnivore,phosphatic,102.066666,25.016666,CN,Yunnan,Lufeng,stated in text,minutes,outcrop,"Located about 9 km north of Lufeng, at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033, called section D."
